,Count,Mean,Std Dev,Min,25%,Median,75%,Max
usd_ngn_rate,225.0,317.44424035134745,312.33420559715984,116.79,152.62,197.0,361.0,1670.2764285714286
oil_price,225.0,77.55934863722781,24.103844105114703,23.34,59.27,74.66954545455,96.29428571429,133.87304347826
external_reserves,225.0,38882981257.12001,7085328709.565421,26070440164.15,35024668898.815,37917916326.375,43409222906.44334,60140999345.191246
mpr,225.0,12.598888888888888,4.223056517406125,6.0,10.25,12.0,14.0,27.5
fx_return,225.0,1.2506395635133423,5.80497678075451,-18.154463532534525,-0.0777121541809089,0.0,0.6050605060506031,59.87366746927503
oil_return,225.0,0.5302020983971598,9.300592376925426,-40.03636363636364,-4.49372056514914,1.425989035417441,6.956870076111632,32.90488431876606
reserves_change,225.0,0.14462346921804137,5.728852699906177,-29.3040069851235,-0.8715105921197064,0.0746286262809814,0.8871781650857002,40.640640551883614
mpr_change,225.0,0.06444444444444444,0.6043575232203334,-4.0,0.0,0.0,0.0,4.0
volatility,225.0,2.0140878052503393,5.095681400204154,0.0,0.0467754527403665,0.4945200899198606,1.5484057626087715,40.76304700841143
spike,225.0,0.24888888888888888,0.4333333333333333,0.0,0.0,0.0,0.0,1.0
