Date,year_month,usd_ngn_rate,fx_return,volatility,oil_price,external_reserves,mpr
2008-01-01,2008-01,117.72,-0.3302006604013252,1.552591235694538,91.92045454545,59350233859.9,9.5
2008-12-01,2008-12,134.33,13.954869358669852,7.993109567417647,41.58090909091,60140999345.191246,9.75
2009-01-01,2009-01,146.59,9.12677733938807,7.013196421921158,44.86,42517276696.15333,9.75
2009-02-01,2009-02,149.12,1.7259021761375282,6.1594245413042135,43.2425,44011082117.68833,9.75
2009-03-01,2009-03,148.975,-0.0972371244635228,4.884998002741968,46.83909090909,43120414302.76,9.75
2009-08-01,2009-08,155.23,3.569522284494253,1.8956770778548648,72.50476190476,44809611936.976,6.0
2009-09-01,2009-09,153.25,-1.2755266378921548,2.4266466867444136,67.68681818182,44767482105.78,6.0
2009-10-01,2009-10,150.22,-1.9771615008156609,3.0202784517161976,73.19409090909,43243766823.34599,6.0
2011-09-01,2011-09,156.7,2.848516671042245,2.431854320645526,110.87909090909,33924990135.12572,9.25
2011-11-01,2011-11,158.76,-0.6632461519209154,1.8308955827702933,110.50409090909,34113354321.99,12.0
2011-12-01,2011-12,162.27,2.2108843537415046,1.599704033085299,107.90904761905,34208594227.61125,12.0
2012-01-01,2012-01,161.31,-0.5916065816232274,1.6390908981512224,111.15619047619,37265775877.652,12.0
2012-02-01,2012-02,158.59,-1.6861942842973154,2.009946085209964,119.70238095238,37392677582.89,12.0
2012-06-01,2012-06,162.33,3.0928489775180923,1.8357043902498615,95.58904761905,38210619367.97375,12.0
2012-07-01,2012-07,161.33,-0.6160290765724108,1.984875245927477,103.14090909091,38450062204.13,12.0
2012-08-01,2012-08,158.97,-1.462840141325239,2.4230548469184288,113.34,37848504872.49714,12.0
2014-04-01,2014-04,162.19,-1.4701415466861212,1.8003167868964358,107.79,38727582256.82889,12.0
2014-11-01,2014-11,171.1,3.923712342079688,1.810139792211126,78.44,38533823365.12888,13.0
2014-12-01,2014-12,180.33,5.394506136762134,2.209938510407218,62.33,38479364474.37875,13.0
2015-01-01,2015-01,181.78,0.8040814063106527,2.3440467418485214,48.07,29895862415.608,13.0
2015-02-01,2015-02,194.48,6.9864671581032045,3.2100943050367774,57.93,30570250417.595554,13.0
2015-03-01,2015-03,197.07,1.3317564788152936,3.4272459164894813,55.79,30815161614.10875,13.0
2015-04-01,2015-04,197.0,-0.0355203734713538,3.722756768642472,59.39,30824614824.49125,13.0
2016-06-01,2016-06,231.76,17.644670050761423,10.187155003569234,48.48,26359568835.02,12.0
2016-07-01,2016-07,294.57,27.101311701760444,13.755262922918051,45.07,26175176882.79875,14.0
2016-08-01,2016-08,309.73,5.14648470652137,11.012471237989416,46.14,26525503347.899,14.0
2016-09-01,2016-09,305.23,-1.45287831336971,14.949402374227445,46.19,26138924003.24625,14.0
2016-10-01,2016-10,305.21,-0.0065524358680457,3.468843289510252,49.73,26175366540.94143,14.0
2020-03-01,2020-03,326.63,6.408001042481115,3.6987210224825535,32.98,36261432418.069,13.5
2020-04-01,2020-04,361.0,10.52260968067844,5.302794799252479,23.34,35857850823.738754,13.5
2020-05-01,2020-05,361.0,0.0,5.302794799252479,31.02,35949385246.98857,12.5
2020-06-01,2020-06,361.0,0.0,6.075231531717062,39.93,36071324956.04111,12.5
2020-07-01,2020-07,377.19,4.484764542936293,2.5892800161163576,42.81,36010359766.77375,12.5
2020-08-01,2020-08,381.0,1.0101010101010166,2.352541311100296,44.26,35740767731.06286,12.5
2020-09-01,2020-09,381.0,0.0,2.352541311100296,41.09,35960536145.17889,11.5
2021-05-01,2021-05,397.1458333333333,4.237751531058609,2.4466669872154365,68.04,35681489894.05857,11.5
2021-06-01,2021-06,409.664761904762,3.1522245786527625,2.201265794857272,73.07,36122683006.583336,11.5
2021-07-01,2021-07,409.6326315789474,-0.0078430777558757,2.205654473539699,74.39,35810351428.98625,11.5
2021-08-01,2021-08,409.65318181818185,0.0050167485815988,1.8207649534318744,70.02,36438779928.019,11.5
2023-06-01,2023-06,607.7488888888888,31.917896241935598,18.410842150678416,74.89,34785507659.31,18.5
2023-07-01,2023-07,769.8165238095238,26.666874737843397,17.079253435992896,80.1,34641596799.06286,18.75
2023-08-01,2023-08,761.6203478260869,-1.0646921350657923,17.72222787024711,86.163,34610563935.51,18.75
2023-09-01,2023-09,761.3271578947368,-0.0384955486269378,15.722964535980196,94.0,35396365652.23143,18.75
2023-10-01,2023-10,796.438,4.611794251810686,3.02491797030562,91.061,35024668898.815,18.75
2023-11-01,2023-11,832.6758095238094,4.549984998682821,2.6671823255034144,83.183,34279778529.62572,18.75
2023-12-01,2023-12,898.8976315789474,7.952893706976893,1.94707274432108,77.858,34268108924.37875,18.75
2024-01-01,2024-01,941.2560227272728,4.71225973461753,1.919541147849154,80.227,36190806342.2375,18.75
2024-02-01,2024-02,1504.8205238095238,59.87366746927503,30.954400225405998,83.764,35652308908.323746,22.75
2024-03-01,2024-03,1510.8432,0.4002255481756478,33.162390434638844,85.447,35162365851.43875,24.75
2024-04-01,2024-04,1236.5577222222223,-18.154463532534525,40.76304700841143,90.054,35334099704.86875,24.75
2024-05-01,2024-05,1435.5678181818182,16.093878383772832,17.144076480533876,81.995,35460934398.17,26.25
2024-06-01,2024-06,1481.7662352941177,3.218128501293016,17.29894770064017,82.555,36111516461.01857,26.25
2024-07-01,2024-07,1557.570125,5.115779257234587,6.951075142976141,85.296,35829156466.33,26.75
2024-08-01,2024-08,1586.9394545454545,1.885586342088752,1.6233141648410176,80.863,35164199787.00223,26.75
2024-09-01,2024-09,1617.7167,1.939408927441466,1.849611293026307,74.293,36158109424.26,27.25
2024-12-01,2024-12,1553.253995,-7.006171647379156,4.9792818079285,73.833,36211706769.09125,27.5
